Stage 1, Machine 1 and Machine 2, Swap 14 and 8, Objective Value 559.0617177693098 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 5, Objective Value 610.6508652263425 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 5, Objective Value 550.778767284222 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 5, Objective Value 511.2795894538456 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 15 and 5, Objective Value 545.4729642368334 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 11, Objective Value 550.5253462662911 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 12 and 11, Objective Value 646.4588649389127 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 11, Objective Value 504.34281472231123 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 11, Objective Value 577.4928192608011 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 11, Objective Value 527.4274763995184 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 11, Objective Value 510.306084253528 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 15 and 11, Objective Value 488.0128789886244 | improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 9, Objective Value 522.0033157865428 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 12 and 9, Objective Value 606.82273168265 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 9, Objective Value 484.56869437672117 | improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 2, Objective Value 573.7490204596415 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 2, Objective Value 535.866270938178 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 2, Objective Value 526.4832844972494 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 11 and 2, Objective Value 511.5366665846268 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 14, Objective Value 671.7366352958959 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 13 and 14, Objective Value 510.74974489802474 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 14, Objective Value 499.0173246500953 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 10 and 14, Objective Value 499.4454699650738 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 6 and 14, Objective Value 580.0848512280222 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 14, Objective Value 560.6351149268363 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 14, Objective Value 532.7963398764776 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 14, Objective Value 531.3376128215831 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 14, Objective Value 501.56470119947153 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 8, Objective Value 486.3802493570661 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 13 and 8, Objective Value 616.2465371307994 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 8, Objective Value 621.4555386327978 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 10 and 8, Objective Value 639.1633810985752 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 6 and 8, Objective Value 707.2777561376843 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 8, Objective Value 693.0892271750505 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 8, Objective Value 672.5142510099791 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 8, Objective Value 671.0555239550845 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 8, Objective Value 641.282612332973 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 4, Objective Value 713.7645827303571 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 13 and 4, Objective Value 552.7512112623613 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 4, Objective Value 552.7512112623613 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 10 and 4, Objective Value 552.7512112623613 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 6 and 4, Objective Value 512.1657466066252 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 4, Objective Value 542.0575072357547 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 4, Objective Value 561.5373017468569 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 4, Objective Value 574.2901187618398 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 4, Objective Value 553.9034855999661 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 3, Objective Value 695.8245252437721 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 13 and 3, Objective Value 514.8595928985607 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 3, Objective Value 504.2757050089084 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 10 and 3, Objective Value 504.2757050089084 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 6 and 3, Objective Value 552.1469772911139 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 3, Objective Value 488.62389983877824 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 3, Objective Value 524.5887348333403 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 3, Objective Value 532.9327257476893 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 3, Objective Value 503.6816657373006 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 5, Objective Value 683.9344756112126 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 13 and 5, Objective Value 518.6135129987064 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 5, Objective Value 509.97782728966916 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 10 and 5, Objective Value 509.97782728966916 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 6 and 5, Objective Value 560.5392600788786 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 5, Objective Value 538.5747891688234 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 5, Objective Value 491.90972208663163 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 5, Objective Value 529.0309791984354 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 5, Objective Value 507.1336424058716 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 15, Objective Value 684.2498445683655 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 13 and 15, Objective Value 517.6698155470165 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 2 and 15, Objective Value 505.6901135656458 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 10 and 15, Objective Value 505.6901135656458 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 6 and 15, Objective Value 562.05095227009 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 15, Objective Value 534.0691751717441 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 15, Objective Value 526.3027415870615 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 15, Objective Value 487.59296297843696 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 15, Objective Value 501.87610076411676 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 14, Objective Value 722.8033033485639 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 2 and 14, Objective Value 573.037048141516 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 14, Objective Value 575.6596409398109 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 6 and 14, Objective Value 566.1815832418347 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 4 and 14, Objective Value 569.5337247389375 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 7 and 14, Objective Value 586.3233397522364 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 14, Objective Value 599.3684657255018 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 5 and 14, Objective Value 617.7763902453197 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 8, Objective Value 577.2464513601453 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 2 and 8, Objective Value 646.3156651922777 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 8, Objective Value 652.581995724677 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 6 and 8, Objective Value 634.1837471990965 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 4 and 8, Objective Value 642.580096599091 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 7 and 8, Objective Value 669.4246936361703 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 8, Objective Value 677.7727915724583 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 5 and 8, Objective Value 707.5447381429611 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 13, Objective Value 542.863759266407 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 2 and 13, Objective Value 505.31104217434597 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 13, Objective Value 509.99478749610256 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 6 and 13, Objective Value 489.5247767430803 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 4 and 13, Objective Value 499.03620158166694 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 7 and 13, Objective Value 522.100713743232 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 13, Objective Value 532.1571437483592 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 5 and 13, Objective Value 555.937395687058 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 1, Objective Value 739.6048625941307 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 2 and 1, Objective Value 497.6616048237761 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 1, Objective Value 495.15999572061867 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 6 and 1, Objective Value 484.07207935693043 | improved!
Stage 3, Machine 1 and Machine 2, Swap 4 and 6, Objective Value 483.5880907884442 | improved!
Stage 3, Machine 1 and Machine 2, Swap 7 and 4, Objective Value 491.9506413544248 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 4, Objective Value 499.3541943952918 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 5 and 4, Objective Value 494.4394309962578 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 15, Objective Value 725.0081202411916 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 2 and 15, Objective Value 490.12590237453884 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 15, Objective Value 486.91006973280156 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 1 and 15, Objective Value 453.61268165649926 | improved!
Stage 3, Machine 1 and Machine 2, Swap 6 and 1, Objective Value 493.62824777422986 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 7 and 1, Objective Value 479.2361744166443 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 1, Objective Value 479.5751172386884 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 5 and 1, Objective Value 461.0716962301614 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 11, Objective Value 709.7990701162842 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 2 and 11, Objective Value 472.37517817208925 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 11, Objective Value 469.1593455303519 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 11, Objective Value 453.67391618745455 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 6 and 11, Objective Value 477.1970190548602 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 7 and 11, Objective Value 461.48545021419466 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 11, Objective Value 469.42426390596427 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 5 and 11, Objective Value 484.2865590915529 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 9, Objective Value 702.9342670593643 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 2 and 9, Objective Value 464.2425654626748 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 9, Objective Value 461.02673282093747 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 9, Objective Value 461.6038293943835 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 6 and 9, Objective Value 469.0644063454458 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 7 and 9, Objective Value 453.35283750478027 | improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 7, Objective Value 461.2916511965499 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 5 and 7, Objective Value 480.557100214599 | not improved!
