Stage 1, Machine 1 and Machine 2, Swap 7 and 3, Objective Value 346.1902421409211 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 15, Objective Value 368.12997233125066 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 15, Objective Value 441.58278651200015 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 5 and 15, Objective Value 372.24218413508447 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 15, Objective Value 398.8196258622202 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 15, Objective Value 403.4267814543956 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 15, Objective Value 390.82334078095636 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 15, Objective Value 347.37413628878306 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 7, Objective Value 686.9175991775988 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 7, Objective Value 640.148608621012 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 7, Objective Value 595.1910164533176 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 7, Objective Value 541.6304241694498 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 7, Objective Value 566.0192207879331 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 7, Objective Value 525.6103935182895 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 3, Objective Value 492.9135163829371 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 3, Objective Value 464.4856911364027 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 3, Objective Value 492.95982784669394 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 3, Objective Value 443.7763172882866 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 3, Objective Value 469.39781695693347 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 3, Objective Value 431.5698715532964 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 4, Objective Value 380.1411465479192 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 4, Objective Value 457.90163657682285 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 4, Objective Value 526.1328058971974 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 4, Objective Value 476.94929533878997 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 4, Objective Value 503.2942497040304 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 4, Objective Value 467.72419318859556 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 5, Objective Value 387.9533305062213 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 5, Objective Value 405.82319286654354 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 5, Objective Value 471.13774307249804 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 5, Objective Value 443.7901012406913 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 5, Objective Value 487.28424921407714 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 5, Objective Value 460.43697417455587 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 10, Objective Value 449.6625302474785 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 10, Objective Value 379.0826971286242 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 10, Objective Value 432.88084222032074 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 10, Objective Value 415.89770822795884 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 10, Objective Value 484.18458322178265 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 10, Objective Value 442.36496878067373 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 2, Objective Value 489.2135434425408 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 2, Objective Value 444.27074418962354 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 2, Objective Value 381.1271474016779 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 2, Objective Value 466.1785511234727 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 2, Objective Value 521.0192044458363 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 2, Objective Value 494.171929406315 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 14, Objective Value 530.0069737559533 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 14, Objective Value 495.4227386497195 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 14, Objective Value 436.4218333710116 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 14, Objective Value 373.11736863414586 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 14, Objective Value 373.33753703897287 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 14, Objective Value 409.40326264481115 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 13, Objective Value 494.6526839787604 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 13, Objective Value 460.0684488725268 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 13, Objective Value 423.8469933115771 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 13, Objective Value 370.06724888238926 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 13, Objective Value 373.48681696041706 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 13, Objective Value 355.31065288022444 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 6, Objective Value 508.8377493706325 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 11 and 6, Objective Value 474.2535142643988 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 6, Objective Value 438.63644608991507 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 12 and 6, Objective Value 386.30377495733705 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 6, Objective Value 386.8867548059275 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 15 and 6, Objective Value 344.2420497667818 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 7, Objective Value 345.80221877606033 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 9 and 7, Objective Value 420.43960408751866 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 7, Objective Value 477.31492357732577 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 8 and 7, Objective Value 511.2829030901198 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 7, Objective Value 504.4634710260413 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 13 and 7, Objective Value 508.8593904499327 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 7, Objective Value 517.1658474315816 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 4, Objective Value 432.24752989704024 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 9 and 4, Objective Value 368.04997795291 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 4, Objective Value 527.6252274662364 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 8 and 4, Objective Value 561.5932069790304 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 4, Objective Value 554.7737749149518 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 13 and 4, Objective Value 559.1696943388432 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 4, Objective Value 567.4761513204921 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 5, Objective Value 434.6008086148859 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 9 and 5, Objective Value 352.1192078464835 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 5, Objective Value 415.14198911427934 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 8 and 5, Objective Value 425.44071829252323 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 5, Objective Value 418.2669489311343 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 13 and 5, Objective Value 423.22460888489985 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 5, Objective Value 430.3214036013783 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 11, Objective Value 525.0376122761066 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 9 and 11, Objective Value 491.2627356205965 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 11, Objective Value 363.54615148011436 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 8 and 11, Objective Value 509.8540083377123 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 11, Objective Value 503.0345762736338 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 13 and 11, Objective Value 507.4304956975252 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 11, Objective Value 515.736952679174 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 2, Objective Value 509.9259136232119 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 9 and 2, Objective Value 482.0910802607844 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 2, Objective Value 481.5780591269163 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 8 and 2, Objective Value 358.67347558150726 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 2, Objective Value 386.9708650442464 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 13 and 2, Objective Value 405.6854869970876 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 2, Objective Value 406.70699628313116 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 14, Objective Value 445.6143161968508 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 9 and 14, Objective Value 417.7794828344234 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 14, Objective Value 416.0538262256716 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 8 and 14, Objective Value 382.36028801606545 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 14, Objective Value 347.24896540772 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 13 and 14, Objective Value 367.80207906311443 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 14, Objective Value 379.74485904260024 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 1, Objective Value 448.3624984630875 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 9 and 1, Objective Value 420.5276651006601 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 1, Objective Value 418.80200849190834 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 8 and 1, Objective Value 378.6437692179204 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 1, Objective Value 373.4330549404477 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 13 and 1, Objective Value 345.0537197495254 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 1, Objective Value 376.0283402444552 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 3 and 6, Objective Value 464.87216184141374 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 9 and 6, Objective Value 437.03732847898624 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 10 and 6, Objective Value 435.31167187023453 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 8 and 6, Objective Value 373.610801322493 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 12 and 6, Objective Value 370.3771335894138 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 13 and 6, Objective Value 373.09445005241696 | not improved!
Stage 3, Machine 1 and Machine 2, Swap 15 and 6, Objective Value 346.4219228275532 | not improved!
